Filename,Video Codec,FPS,Resolution,Video Bitrate (kb/s),Audio Codec,Sample Rate (Hz),Channels,Audio Bitrate (kb/s),Duration (mm:ss.000),File Size (MB)
2024-09-04_17-02-04.mp4,H264,60.0,1920x1080,1418,AAC,44100,2,115,01:17.785,14.09
2024-03-04_04-14-36.mp4,H264,60.0,1920x1080,2464,AAC,44100,2,192,08:17.733,158.36
2024-04-08_23-26-19.mp4,H264,60.0,1920x1080,2734,AAC,44100,2,192,10:33.600,222.01
2024-02-22_11-58-09.mp4,H264,60.0,1920x1080,2464,AAC,44100,2,192,14:12.967,271.44
2024-02-14_20-10-08.mp4,H264,60.0,1920x1080,3118,AAC,44100,2,192,21:39.867,515.01
2024-09-04_20-30-34.mp4,H264,60.0,1920x1080,2266,AAC,44100,2,154,26:57.361,469.05
2024-02-16_23-19-03.mp4,H264,60.0,1920x1080,3081,AAC,44100,2,192,14:58.600,352.04
2024-09-04_19-09-38.mp4,H264,60.0,1920x1080,1611,AAC,44100,2,142,05:36.362,70.72
2024-02-17_21-44-37.mp4,H264,60.0,1920x1080,2820,AAC,44100,2,193,02:57.867,64.16
2024-03-11_22-23-29.mp4,H264,60.0,1920x1080,2625,AAC,44100,2,192,11:33.567,234.01
2024-02-15_20-38-23.mp4,H264,60.0,1920x1080,3351,AAC,44100,2,192,07:08.000,181.47
2024-09-05_21-13-49.mp4,H264,60.0,1920x1080,2028,AAC,44100,2,100,03:08.823,48.2
2024-09-02_21-04-45.mp4,H264,60.0,1920x1080,1831,AAC,44100,2,115,07:53.767,110.61
2024-09-05_21-31-00.mp4,H264,60.0,1920x1080,1625,AAC,44100,2,66,01:04.225,13.04
2024-02-15_21-01-11.mp4,H264,60.0,1920x1080,3164,AAC,44100,2,192,15:32.867,374.7
2024-04-08_23-10-23.mp4,H264,60.0,1920x1080,2671,AAC,44100,2,192,11:04.417,227.78
2024-09-05_13-25-10.mp4,H264,60.0,1920x1080,1798,AAC,44100,1,138,03:12.143,44.64
2024-03-04_22-38-33.mp4,H264,60.0,1920x1080,2604,AAC,44100,2,192,17:01.967,342.2
2024-02-20_18-23-30.mp4,H264,60.0,1920x1080,2460,AAC,44100,2,192,45:17.667,863.52
2024-03-13_11-54-57.mp4,H264,60.0,1920x1080,2597,AAC,44100,2,192,29:07.767,583.85
2024-02-16_14-41-07.mp4,H264,60.0,1920x1080,3191,AAC,44100,2,192,17:34.150,426.77
2024-02-17_22-12-41.mp4,H264,60.0,1920x1080,2578,AAC,44100,2,192,17:31.050,348.78
2024-03-26_16-33-49.mp4,H264,60.0,1920x1080,2314,AAC,44100,2,192,33:48.000,609.12
2024-02-14_19-10-09.mp4,H264,60.0,1920x1080,3438,AAC,44100,2,192,12:25.517,323.77
2024-02-15_22-57-11.mp4,H264,60.0,1920x1080,3658,AAC,44100,2,192,13:03.150,360.66
2024-04-08_22-49-18.mp4,H264,60.0,1920x1080,2720,AAC,44100,2,192,02:57.667,61.96
2024-09-04_20-59-20.mp4,H264,60.0,1920x1080,2389,AAC,44100,2,162,07:23.360,135.49
2024-09-04_22-13-22.mp4,H264,60.0,1920x1080,1452,AAC,44100,1,141,03:57.515,45.47
2024-09-02_14-10-41.mp4,H264,60.0,1920x1080,2204,AAC,44100,1,134,04:53.133,82.15
2024-03-15_22-54-26.mp4,H264,60.0,1920x1080,2527,AAC,44100,2,192,19:14.900,376.17
2024-09-04_20-09-07.mp4,H264,60.0,1920x1080,1919,AAC,44100,2,157,09:25.218,140.57
2024-09-02_23-49-01.mp4,H264,60.0,1920x1080,1867,AAC,44100,2,90,13:16.283,187.09
2024-02-15_22-02-16.mp4,H264,60.0,1920x1080,4071,AAC,44100,2,192,08:32.700,261.36
2024-03-17_18-54-44.mp4,H264,60.0,1920x1080,2269,AAC,44100,2,192,26:15.183,464.61
2024-02-15_20-54-38.mp4,H264,60.0,1920x1080,3455,AAC,44100,2,192,04:58.667,130.32
2024-02-15_15-13-10.mp4,H264,60.0,1920x1080,2784,AAC,44100,2,192,19:18.900,413.03
2024-03-04_04-36-26.mp4,H264,60.0,1920x1080,2910,AAC,44100,2,192,18:07.900,404.02
2024-09-04_16-13-44.mp4,H264,60.0,1920x1080,1405,AAC,44100,2,109,05:28.932,59.81
2024-09-05_13-50-00.mp4,H264,60.0,1920x1080,1786,AAC,44100,1,142,03:59.976,55.53
2024-02-15_23-14-13.mp4,H264,60.0,1920x1080,2627,AAC,44100,2,192,35:15.767,714.29
2024-02-17_21-37-57.mp4,H264,60.0,1920x1080,3020,AAC,44100,2,193,00:22.450,8.63
2024-02-15_21-57-38.mp4,H264,60.0,1920x1080,3502,AAC,44100,2,192,03:33.767,94.46
2024-04-09_03-42-36.mp4,H264,60.0,1920x1080,2615,AAC,44100,2,192,25:08.967,507.32
2024-09-05_13-36-00.mp4,H264,60.0,1920x1080,1759,AAC,44100,1,137,11:21.248,155.03
2024-09-04_19-52-57.mp4,H264,60.0,1920x1080,2477,AAC,44100,2,155,05:14.071,98.63
2024-04-08_23-42-45.mp4,H264,60.0,1920x1080,2760,AAC,44100,2,192,04:27.150,94.45
2024-02-15_20-07-54.mp4,H264,60.0,1920x1080,3451,AAC,44100,2,192,07:46.817,203.46
2024-09-05_21-01-27.mp4,H264,60.0,1920x1080,1632,AAC,44100,1,134,01:36.383,20.44
2024-02-20_18-08-35.mp4,H264,60.0,1920x1080,1938,AAC,44100,2,193,11:25.250,175.13
2024-03-04_03-46-36.mp4,H264,60.0,1920x1080,2367,AAC,44100,2,192,00:22.833,7.0
2024-09-02_15-26-39.mp4,H264,60.0,1920x1080,2901,AAC,44100,1,145,14:24.850,315.46
2024-09-02_19-40-55.mp4,H264,60.0,1920x1080,1594,AAC,44100,2,145,07:06.361,89.04
2024-02-15_21-33-36.mp4,H264,60.0,1920x1080,3067,AAC,44100,2,192,05:36.000,131.08
2024-09-04_17-07-59.mp4,H264,60.0,1920x1080,1704,AAC,44100,2,117,01:13.167,16.0
2024-09-02_20-50-18.mp4,H264,60.0,1920x1080,2599,AAC,44100,2,190,11:59.850,239.7
2024-09-02_15-15-09.mp4,H264,60.0,1920x1080,2101,AAC,44100,1,142,08:33.233,138.06
2024-02-14_19-55-17.mp4,H264,60.0,1920x1080,3193,AAC,44100,2,192,12:35.317,305.96
2024-02-15_20-47-59.mp4,H264,60.0,1920x1080,2879,AAC,44100,2,192,05:07.517,113.07
2024-02-22_14-11-52.mp4,H264,60.0,1920x1080,2439,AAC,44100,2,192,39:19.317,743.89
2024-09-05_22-11-07.mp4,H264,60.0,1920x1080,1714,AAC,44100,2,113,08:08.151,107.09
2024-09-02_13-19-32.mp4,H264,60.0,1920x1080,2801,AAC,44100,1,135,09:54.333,208.96
2024-04-08_23-50-57.mp4,H264,60.0,1920x1080,2547,AAC,44100,2,192,17:55.667,352.87
2024-09-02_18-29-40.mp4,H264,60.0,1920x1080,1568,AAC,44100,2,165,03:28.720,43.46
2024-09-05_21-04-38.mp4,H264,60.0,1920x1080,1255,AAC,44100,2,69,01:24.612,13.49
2024-09-02_20-00-16.mp4,H264,60.0,1920x1080,1339,AAC,44100,2,144,10:44.721,114.95
2024-09-05_21-37-08.mp4,H264,60.0,1920x1080,1664,AAC,44100,2,97,14:03.486,178.4
2024-09-03_00-07-46.mp4,H264,60.0,1920x1080,1858,AAC,44100,2,110,26:48.217,379.76
2024-09-04_20-20-07.mp4,H264,60.0,1920x1080,2428,AAC,44100,2,192,09:08.871,172.18
2024-09-04_22-19-28.mp4,H264,60.0,1920x1080,1637,AAC,44100,1,143,13:38.337,174.89
2024-02-14_21-30-04.mp4,H264,60.0,1920x1080,3304,AAC,44100,2,192,42:27.450,1065.62
2024-03-13_11-32-42.mp4,H264,60.0,1920x1080,2523,AAC,44100,2,192,18:38.417,363.7
2024-09-02_23-22-31.mp4,H264,60.0,1920x1080,1963,AAC,44100,2,122,06:30.517,97.69
2024-03-12_15-43-01.mp4,H264,60.0,1920x1080,2139,AAC,44100,2,192,19:02.633,319.36
2024-02-17_00-29-10.mp4,H264,60.0,1920x1080,2858,AAC,44100,2,192,17:06.017,374.67
2024-09-04_22-00-35.mp4,H264,60.0,1920x1080,1541,AAC,44100,2,123,04:07.198,49.41
2024-09-05_20-51-00.mp4,H264,60.0,1920x1080,2075,AAC,44100,1,138,05:00.604,79.79
2024-02-15_21-40-43.mp4,H264,60.0,1920x1080,2660,AAC,44100,2,192,15:16.900,313.21
2024-09-04_22-06-40.mp4,H264,60.0,1920x1080,1458,AAC,44100,2,142,01:38.590,18.91
2024-09-03_00-44-45.mp4,H264,60.0,1920x1080,2130,AAC,44100,2,121,10:03.050,162.76
2024-09-04_21-51-59.mp4,H264,60.0,1920x1080,1007,AAC,44100,2,134,02:55.866,24.19
2024-02-17_00-12-50.mp4,H264,60.0,1920x1080,2989,AAC,44100,2,192,14:28.633,330.74
2024-09-05_20-46-25.mp4,H264,60.0,1920x1080,2155,AAC,44100,1,138,02:19.318,38.29
2024-09-05_21-18-58.mp4,H264,60.0,1920x1080,1958,AAC,44100,2,72,03:48.645,55.68
2024-03-18_04-15-06.mp4,H264,60.0,1920x1080,2637,AAC,44100,2,192,33:42.933,685.4
2024-03-04_03-50-34.mp4,H264,60.0,1920x1080,2395,AAC,44100,2,192,13:38.085,253.6
2024-09-02_18-25-31.mp4,H264,60.0,1920x1080,1556,AAC,44100,2,157,02:09.587,26.67
2024-03-27_11-49-04.mp4,H264,60.0,1920x1080,2896,AAC,44100,2,192,01:26.600,32.02
2024-04-09_04-09-27.mp4,H264,60.0,1920x1080,2539,AAC,44100,2,192,29:17.217,574.85
2024-09-02_12-45-12.mp4,H264,60.0,1920x1080,1958,AAC,44100,2,88,05:23.733,79.49
2024-02-15_22-12-41.mp4,H264,60.0,1920x1080,3098,AAC,44100,2,192,04:23.933,103.95
2024-02-15_20-17-26.mp4,H264,60.0,1920x1080,3098,AAC,44100,2,192,08:56.417,211.25
2024-02-15_21-18-14.mp4,H264,60.0,1920x1080,3169,AAC,44100,2,192,13:33.633,327.28
2024-03-04_04-32-11.mp4,H264,60.0,1920x1080,2903,AAC,44100,2,192,02:58.770,66.25
2024-09-02_15-05-42.mp4,H264,60.0,1920x1080,2200,AAC,44100,1,153,08:05.000,136.81
2024-09-04_21-09-37.mp4,H264,60.0,1920x1080,2420,AAC,44100,2,192,06:12.110,116.21
2024-09-05_21-26-38.mp4,H264,60.0,1920x1080,1632,AAC,44100,2,69,01:59.581,24.44
2024-09-05_21-07-35.mp4,H264,60.0,1920x1080,1921,AAC,44100,2,101,04:23.591,63.94
2024-02-15_20-28-13.mp4,H264,60.0,1920x1080,3481,AAC,44100,2,192,07:05.050,186.8
2024-09-04_21-44-42.mp4,H264,60.0,1920x1080,1578,AAC,44100,2,138,03:56.795,48.78
2024-09-04_18-11-36.mp4,H264,60.0,1920x1080,1566,AAC,44100,2,151,09:01.441,111.55
2024-02-14_20-37-55.mp4,H264,60.0,1920x1080,3051,AAC,44100,2,192,18:21.250,427.52
2024-09-04_17-12-33.mp4,H264,60.0,1920x1080,2547,AAC,44100,2,192,07:03.275,138.73
2024-02-14_20-58-43.mp4,H264,60.0,1920x1080,2922,AAC,44100,2,192,20:46.117,464.52
2024-09-02_18-42-47.mp4,H264,60.0,1920x1080,1137,AAC,44100,2,167,20:44.307,195.3
2024-02-15_22-18-32.mp4,H264,60.0,1920x1080,2797,AAC,44100,2,192,36:11.633,777.1
2024-02-14_19-44-26.mp4,H264,60.0,1920x1080,3345,AAC,44100,2,192,08:13.700,208.93
2024-02-17_22-33-45.mp4,H264,60.0,1920x1080,3085,AAC,44100,2,192,05:11.317,122.11
