,note/precision,note/recall,note/f1,note-w-offsets/precision,note-w-offsets/recall,note-w-offsets/f1,note-w-velocity/precision,note-w-velocity/recall,note-w-velocity/f1
2024-02-14_19-55-17.h5,0.8057220708446866,0.5253153313199502,0.6359823636950208,0.006267029972752043,0.004085983300763901,0.004946768469727928,0.4871934604904632,0.3176407887724285,0.3845574792988493
2024-02-14_20-10-08.h5,0.8062185524448459,0.6678422571336967,0.7305354220247838,0.002322280996000516,0.0019236934915036871,0.0021042787000233806,0.5213520836021158,0.43186918884257774,0.47241056815524896
2024-02-15_20-17-26.h5,0.7653519720419371,0.6077304261645193,0.6774941995359629,0.00199700449326011,0.0015857284440039642,0.0017677604684565242,0.5536694957563655,0.43964321110009913,0.4901115898795713
2024-02-15_20-47-59.h5,0.6456936565239815,0.753309265944645,0.6953623993335185,0.04641567818463126,0.05415162454873646,0.049986114968064425,0.3935018050541516,0.4590854392298436,0.42377117467370173
2024-09-02_14-10-41.h5,0.8592870544090057,0.7089783281733746,0.7769296013570822,0.0225140712945591,0.018575851393188854,0.02035623409669211,0.6763602251407129,0.5580495356037152,0.6115351993214588
2024-09-02_18-42-47.h5,0.60540658382385,0.6392725598526704,0.6218788489530848,0.008175277959450621,0.008632596685082873,0.008397715821296605,0.4906256812731633,0.5180709023941068,0.5039749188220803
2024-09-02_21-04-45.h5,0.7371107708014293,0.5291315500183217,0.6160409556313994,0.03215926493108729,0.023085379259802124,0.026877133105802052,0.5033180193976519,0.3613045071454745,0.4206484641638225
2024-09-03_00-44-45.h5,0.6098006948253795,0.6623634558093346,0.6349961919268851,0.0078624977143902,0.008540218470705064,0.008187357197258186,0.46681294569391113,0.5070506454816286,0.48610053313023605
2024-09-04_17-02-04.h5,0.35789473684210527,0.9066666666666666,0.5132075471698114,0.010526315789473684,0.02666666666666667,0.01509433962264151,0.22631578947368422,0.5733333333333334,0.32452830188679244
2024-09-04_17-07-59.h5,0.3865546218487395,0.9292929292929293,0.5459940652818991,0.0,0.0,0.0,0.15966386554621848,0.3838383838383838,0.2255192878338279
2024-09-04_21-09-37.h5,0.8046068308181096,0.4433260393873085,0.5716704288939053,0.016282764098490866,0.008971553610503282,0.011568848758465011,0.5992851469420175,0.3301969365426696,0.42579006772009026
2024-09-05_13-36-00.h5,0.7436932391523713,0.7693110647181628,0.7562852744997435,0.09283551967709384,0.09603340292275574,0.0944073884043099,0.5358224016145308,0.5542797494780793,0.5448948178553104
2024-09-05_21-26-38.h5,0.6035242290748899,0.9072847682119205,0.7248677248677249,0.09251101321585903,0.1390728476821192,0.1111111111111111,0.42290748898678415,0.6357615894039735,0.5079365079365079
2024-09-05_22-11-07.h5,0.7992444684295736,0.4444777911164466,0.5712632594021215,0.008634646519158122,0.004801920768307323,0.006171648987463838,0.7031840259039396,0.3910564225690276,0.5026036644165862
