set_id,error_type,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
mandatory_missing,exact_error,1800,275,0.1527777777777778,392,275,0.701530612244898,1.0,0.0,4.591836734693878
mandatory_missing,hand_error,1800,275,0.1527777777777778,281,275,0.9786476868327402,1.0,0.0,6.405693950177936
mandatory_missing,within_hand_finger_error,1800,275,0.1527777777777778,111,0,0.0,0.0,0.16281823564239195,0.0
legacy_current_default,exact_error,1800,90,0.05,392,26,0.0663265306122449,0.28888888888888886,0.045454545454545456,1.3265306122448979
legacy_current_default,hand_error,1800,90,0.05,281,0,0.0,0.0,0.05924950625411455,0.0
legacy_current_default,within_hand_finger_error,1800,90,0.05,111,26,0.23423423423423423,0.28888888888888886,0.037892243931320305,4.684684684684684
bl_span_practical,exact_error,1800,131,0.07277777777777777,392,13,0.03316326530612245,0.09923664122137404,0.08380681818181818,0.4556784545879421
bl_span_practical,hand_error,1800,131,0.07277777777777777,281,0,0.0,0.0,0.08624094799210007,0.0
bl_span_practical,within_hand_finger_error,1800,131,0.07277777777777777,111,13,0.11711711711711711,0.09923664122137404,0.06986382474837181,1.6092428306168765
bl_span_comfortable,exact_error,1800,233,0.12944444444444445,392,22,0.05612244897959184,0.0944206008583691,0.14985795454545456,0.43356398353332753
bl_span_comfortable,hand_error,1800,233,0.12944444444444445,281,0,0.0,0.0,0.1533903884134299,0.0
bl_span_comfortable,within_hand_finger_error,1800,233,0.12944444444444445,111,22,0.1981981981981982,0.0944206008583691,0.12492599171107165,1.5311448787843638
bl_span_relative,exact_error,1800,624,0.3466666666666667,392,60,0.15306122448979592,0.09615384615384616,0.4005681818181818,0.4415227629513344
bl_span_relative,hand_error,1800,624,0.3466666666666667,281,2,0.0071174377224199285,0.003205128205128205,0.40947992100065833,0.02053107035313441
bl_span_relative,within_hand_finger_error,1800,624,0.3466666666666667,111,58,0.5225225225225225,0.09294871794871795,0.335109532267614,1.5072765072765073
bl_crossing,exact_error,1800,28,0.015555555555555555,392,7,0.017857142857142856,0.25,0.014914772727272728,1.1479591836734695
bl_crossing,hand_error,1800,28,0.015555555555555555,281,0,0.0,0.0,0.018433179723502304,0.0
bl_crossing,within_hand_finger_error,1800,28,0.015555555555555555,111,7,0.06306306306306306,0.25,0.012433392539964476,4.054054054054054
bl_step_crossing,exact_error,1800,10,0.005555555555555556,392,3,0.007653061224489796,0.3,0.004971590909090909,1.3775510204081634
bl_step_crossing,hand_error,1800,10,0.005555555555555556,281,0,0.0,0.0,0.0065832784726793945,0.0
bl_step_crossing,within_hand_finger_error,1800,10,0.005555555555555556,111,3,0.02702702702702703,0.3,0.0041444641799881585,4.864864864864865
bl_rate_q995,exact_error,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695
bl_rate_q995,hand_error,1800,8,0.0044444444444444444,281,0,0.0,0.0,0.005266622778143515,0.0
bl_rate_q995,within_hand_finger_error,1800,8,0.0044444444444444444,111,2,0.018018018018018018,0.25,0.003552397868561279,4.054054054054054
bl_rate_q990,exact_error,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477
bl_rate_q990,hand_error,1800,17,0.009444444444444445,281,0,0.0,0.0,0.01119157340355497,0.0
bl_rate_q990,within_hand_finger_error,1800,17,0.009444444444444445,111,4,0.036036036036036036,0.23529411764705882,0.0076968620485494375,3.8155802861685215
bl_rate_q975,exact_error,1800,42,0.023333333333333334,392,6,0.015306122448979591,0.14285714285714285,0.02556818181818182,0.6559766763848397
bl_rate_q975,hand_error,1800,42,0.023333333333333334,281,0,0.0,0.0,0.027649769585253458,0.0
bl_rate_q975,within_hand_finger_error,1800,42,0.023333333333333334,111,6,0.05405405405405406,0.14285714285714285,0.021314387211367674,2.3166023166023164
bl_hmm_disagreement,exact_error,1800,1009,0.5605555555555556,392,95,0.2423469387755102,0.09415262636273539,0.6491477272727273,0.4323334884003156
bl_hmm_disagreement,hand_error,1800,1009,0.5605555555555556,281,4,0.014234875444839857,0.003964321110009911,0.6616194865042792,0.025394227750953163
bl_hmm_disagreement,within_hand_finger_error,1800,1009,0.5605555555555556,111,91,0.8198198198198198,0.09018830525272548,0.5435168738898757,1.462513058152305
bl_practical_or_rate995,exact_error,1800,139,0.07722222222222222,392,15,0.03826530612244898,0.1079136690647482,0.08806818181818182,0.4955219497871091
bl_practical_or_rate995,hand_error,1800,139,0.07722222222222222,281,0,0.0,0.0,0.09150757077024359,0.0
bl_practical_or_rate995,within_hand_finger_error,1800,139,0.07722222222222222,111,15,0.13513513513513514,0.1079136690647482,0.07341622261693309,1.74995139023916
bl_practical_or_crossing,exact_error,1800,131,0.07277777777777777,392,13,0.03316326530612245,0.09923664122137404,0.08380681818181818,0.4556784545879421
bl_practical_or_crossing,hand_error,1800,131,0.07277777777777777,281,0,0.0,0.0,0.08624094799210007,0.0
bl_practical_or_crossing,within_hand_finger_error,1800,131,0.07277777777777777,111,13,0.11711711711711711,0.09923664122137404,0.06986382474837181,1.6092428306168765
bl_two_signal_strict,exact_error,1800,90,0.05,392,16,0.04081632653061224,0.17777777777777778,0.052556818181818184,0.816326530612245
bl_two_signal_strict,hand_error,1800,90,0.05,281,0,0.0,0.0,0.05924950625411455,0.0
bl_two_signal_strict,within_hand_finger_error,1800,90,0.05,111,16,0.14414414414414414,0.17777777777777778,0.04381290704558911,2.8828828828828827
wl_model_agreement,exact_error,1800,1009,0.5605555555555556,392,95,0.2423469387755102,0.09415262636273539,0.6491477272727273,0.4323334884003156
