strategy,set_id,hard_count,hard_percentage_all_notes,gt_error_recall,gt_precision,pig_status,recommendable,pareto_status
baseline,legacy_current_default,35000,0.06881351733412501,0.0663265306122449,0.28888888888888886,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k3_r1,35000,0.06881351733412501,0.0663265306122449,0.28888888888888886,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k3_r2,35000,0.06881351733412501,0.0663265306122449,0.28888888888888886,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k5_r1,35000,0.06881351733412501,0.0663265306122449,0.28888888888888886,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k5_r2,35000,0.06881351733412501,0.0663265306122449,0.28888888888888886,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k5_r4,35860,0.07050436376004923,0.0663265306122449,0.28888888888888886,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k3_r4,43570,0.08566299857850934,0.07142857142857142,0.2413793103448276,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k2_r1,49431,0.09718631358123239,0.07397959183673469,0.20863309352517986,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k2_r2,62762,0.12339639928355298,0.08418367346938775,0.18333333333333332,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
baseline,legacy_current_default__ni_k2_r4,92261,0.1813943977932488,0.09438775510204081,0.13703703703703704,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
blacklist,bl_step_crossing,3328,0.006543182448227659,0.007653061224489796,0.42857142857142855,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
blacklist,bl_step_crossing__ni_k5_r1,3899,0.007665825831021527,0.007653061224489796,0.42857142857142855,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,not_assigned_by_pipeline
