set_id,finger_id,gt_notes,errors,selected_notes,selected_errors,error_recall,precision,scope
mandatory_missing,L1,252,45,35,35,0.7777777777777778,1.0,all_gt
mandatory_missing,L2,207,25,19,19,0.76,1.0,all_gt
mandatory_missing,L3,110,20,15,15,0.75,1.0,all_gt
mandatory_missing,L4,38,13,8,8,0.6153846153846154,1.0,all_gt
mandatory_missing,L5,279,72,54,54,0.75,1.0,all_gt
mandatory_missing,R1,252,71,62,62,0.8732394366197183,1.0,all_gt
mandatory_missing,R2,193,19,11,11,0.5789473684210527,1.0,all_gt
mandatory_missing,R3,160,21,14,14,0.6666666666666666,1.0,all_gt
mandatory_missing,R4,136,40,18,18,0.45,1.0,all_gt
mandatory_missing,R5,173,66,39,39,0.5909090909090909,1.0,all_gt
mandatory_missing,L1,217,10,0,0,0.0,,assigned_gt
mandatory_missing,L2,188,6,0,0,0.0,,assigned_gt
mandatory_missing,L3,95,5,0,0,0.0,,assigned_gt
mandatory_missing,L4,30,5,0,0,0.0,,assigned_gt
mandatory_missing,L5,225,18,0,0,0.0,,assigned_gt
mandatory_missing,R1,190,9,0,0,0.0,,assigned_gt
mandatory_missing,R2,182,8,0,0,0.0,,assigned_gt
mandatory_missing,R3,146,7,0,0,0.0,,assigned_gt
mandatory_missing,R4,118,22,0,0,0.0,,assigned_gt
mandatory_missing,R5,134,27,0,0,0.0,,assigned_gt
legacy_current_default,L1,252,45,5,1,0.022222222222222223,0.2,all_gt
legacy_current_default,L2,207,25,5,0,0.0,0.0,all_gt
legacy_current_default,L3,110,20,5,1,0.05,0.2,all_gt
legacy_current_default,L4,38,13,5,0,0.0,0.0,all_gt
legacy_current_default,L5,279,72,21,5,0.06944444444444445,0.23809523809523808,all_gt
legacy_current_default,R1,252,71,7,2,0.028169014084507043,0.2857142857142857,all_gt
legacy_current_default,R2,193,19,2,0,0.0,0.0,all_gt
legacy_current_default,R3,160,21,8,0,0.0,0.0,all_gt
legacy_current_default,R4,136,40,15,7,0.175,0.4666666666666667,all_gt
legacy_current_default,R5,173,66,17,10,0.15151515151515152,0.5882352941176471,all_gt
legacy_current_default,L1,217,10,5,1,0.1,0.2,assigned_gt
legacy_current_default,L2,188,6,5,0,0.0,0.0,assigned_gt
legacy_current_default,L3,95,5,5,1,0.2,0.2,assigned_gt
legacy_current_default,L4,30,5,5,0,0.0,0.0,assigned_gt
legacy_current_default,L5,225,18,21,5,0.2777777777777778,0.23809523809523808,assigned_gt
legacy_current_default,R1,190,9,7,2,0.2222222222222222,0.2857142857142857,assigned_gt
legacy_current_default,R2,182,8,2,0,0.0,0.0,assigned_gt
legacy_current_default,R3,146,7,8,0,0.0,0.0,assigned_gt
legacy_current_default,R4,118,22,15,7,0.3181818181818182,0.4666666666666667,assigned_gt
legacy_current_default,R5,134,27,17,10,0.37037037037037035,0.5882352941176471,assigned_gt
bl_span_practical,L1,252,45,13,0,0.0,0.0,all_gt
bl_span_practical,L2,207,25,10,0,0.0,0.0,all_gt
bl_span_practical,L3,110,20,7,0,0.0,0.0,all_gt
bl_span_practical,L4,38,13,4,0,0.0,0.0,all_gt
bl_span_practical,L5,279,72,56,6,0.08333333333333333,0.10714285714285714,all_gt
bl_span_practical,R1,252,71,4,0,0.0,0.0,all_gt
bl_span_practical,R2,193,19,11,1,0.05263157894736842,0.09090909090909091,all_gt
bl_span_practical,R3,160,21,4,0,0.0,0.0,all_gt
bl_span_practical,R4,136,40,9,0,0.0,0.0,all_gt
bl_span_practical,R5,173,66,13,6,0.09090909090909091,0.46153846153846156,all_gt
bl_span_practical,L1,217,10,13,0,0.0,0.0,assigned_gt
bl_span_practical,L2,188,6,10,0,0.0,0.0,assigned_gt
bl_span_practical,L3,95,5,7,0,0.0,0.0,assigned_gt
bl_span_practical,L4,30,5,4,0,0.0,0.0,assigned_gt
bl_span_practical,L5,225,18,56,6,0.3333333333333333,0.10714285714285714,assigned_gt
bl_span_practical,R1,190,9,4,0,0.0,0.0,assigned_gt
bl_span_practical,R2,182,8,11,1,0.125,0.09090909090909091,assigned_gt
bl_span_practical,R3,146,7,4,0,0.0,0.0,assigned_gt
bl_span_practical,R4,118,22,9,0,0.0,0.0,assigned_gt
bl_span_practical,R5,134,27,13,6,0.2222222222222222,0.46153846153846156,assigned_gt
bl_span_comfortable,L1,252,45,24,0,0.0,0.0,all_gt
bl_span_comfortable,L2,207,25,22,0,0.0,0.0,all_gt
bl_span_comfortable,L3,110,20,20,0,0.0,0.0,all_gt
bl_span_comfortable,L4,38,13,8,0,0.0,0.0,all_gt
bl_span_comfortable,L5,279,72,66,9,0.125,0.13636363636363635,all_gt
bl_span_comfortable,R1,252,71,5,0,0.0,0.0,all_gt
bl_span_comfortable,R2,193,19,24,1,0.05263157894736842,0.041666666666666664,all_gt
bl_span_comfortable,R3,160,21,17,1,0.047619047619047616,0.058823529411764705,all_gt
bl_span_comfortable,R4,136,40,21,2,0.05,0.09523809523809523,all_gt
bl_span_comfortable,R5,173,66,26,9,0.13636363636363635,0.34615384615384615,all_gt
bl_span_comfortable,L1,217,10,24,0,0.0,0.0,assigned_gt
bl_span_comfortable,L2,188,6,22,0,0.0,0.0,assigned_gt
bl_span_comfortable,L3,95,5,20,0,0.0,0.0,assigned_gt
bl_span_comfortable,L4,30,5,8,0,0.0,0.0,assigned_gt
bl_span_comfortable,L5,225,18,66,9,0.5,0.13636363636363635,assigned_gt
bl_span_comfortable,R1,190,9,5,0,0.0,0.0,assigned_gt
bl_span_comfortable,R2,182,8,24,1,0.125,0.041666666666666664,assigned_gt
bl_span_comfortable,R3,146,7,17,1,0.14285714285714285,0.058823529411764705,assigned_gt
bl_span_comfortable,R4,118,22,21,2,0.09090909090909091,0.09523809523809523,assigned_gt
bl_span_comfortable,R5,134,27,26,9,0.3333333333333333,0.34615384615384615,assigned_gt
bl_span_relative,L1,252,45,92,2,0.044444444444444446,0.021739130434782608,all_gt
bl_span_relative,L2,207,25,82,3,0.12,0.036585365853658534,all_gt
bl_span_relative,L3,110,20,33,3,0.15,0.09090909090909091,all_gt
bl_span_relative,L4,38,13,13,3,0.23076923076923078,0.23076923076923078,all_gt
bl_span_relative,L5,279,72,124,12,0.16666666666666666,0.0967741935483871,all_gt
bl_span_relative,R1,252,71,46,6,0.08450704225352113,0.13043478260869565,all_gt
bl_span_relative,R2,193,19,59,2,0.10526315789473684,0.03389830508474576,all_gt
bl_span_relative,R3,160,21,55,5,0.23809523809523808,0.09090909090909091,all_gt
bl_span_relative,R4,136,40,45,12,0.3,0.26666666666666666,all_gt
bl_span_relative,R5,173,66,75,12,0.18181818181818182,0.16,all_gt
bl_span_relative,L1,217,10,92,2,0.2,0.021739130434782608,assigned_gt
bl_span_relative,L2,188,6,82,3,0.5,0.036585365853658534,assigned_gt
bl_span_relative,L3,95,5,33,3,0.6,0.09090909090909091,assigned_gt
bl_span_relative,L4,30,5,13,3,0.6,0.23076923076923078,assigned_gt
bl_span_relative,L5,225,18,124,12,0.6666666666666666,0.0967741935483871,assigned_gt
bl_span_relative,R1,190,9,46,6,0.6666666666666666,0.13043478260869565,assigned_gt
bl_span_relative,R2,182,8,59,2,0.25,0.03389830508474576,assigned_gt
bl_span_relative,R3,146,7,55,5,0.7142857142857143,0.09090909090909091,assigned_gt
bl_span_relative,R4,118,22,45,12,0.5454545454545454,0.26666666666666666,assigned_gt
bl_span_relative,R5,134,27,75,12,0.4444444444444444,0.16,assigned_gt
bl_crossing,L1,252,45,0,0,0.0,,all_gt
bl_crossing,L2,207,25,1,0,0.0,0.0,all_gt
bl_crossing,L3,110,20,1,0,0.0,0.0,all_gt
bl_crossing,L4,38,13,1,0,0.0,0.0,all_gt
bl_crossing,L5,279,72,6,3,0.041666666666666664,0.5,all_gt
bl_crossing,R1,252,71,0,0,0.0,,all_gt
bl_crossing,R2,193,19,0,0,0.0,,all_gt
bl_crossing,R3,160,21,2,0,0.0,0.0,all_gt
bl_crossing,R4,136,40,3,0,0.0,0.0,all_gt
bl_crossing,R5,173,66,6,4,0.06060606060606061,0.6666666666666666,all_gt
bl_crossing,L1,217,10,0,0,0.0,,assigned_gt
bl_crossing,L2,188,6,1,0,0.0,0.0,assigned_gt
bl_crossing,L3,95,5,1,0,0.0,0.0,assigned_gt
bl_crossing,L4,30,5,1,0,0.0,0.0,assigned_gt
bl_crossing,L5,225,18,6,3,0.16666666666666666,0.5,assigned_gt
bl_crossing,R1,190,9,0,0,0.0,,assigned_gt
bl_crossing,R2,182,8,0,0,0.0,,assigned_gt
bl_crossing,R3,146,7,2,0,0.0,0.0,assigned_gt
bl_crossing,R4,118,22,3,0,0.0,0.0,assigned_gt
bl_crossing,R5,134,27,6,4,0.14814814814814814,0.6666666666666666,assigned_gt
bl_step_crossing,L1,252,45,0,0,0.0,,all_gt
bl_step_crossing,L2,207,25,0,0,0.0,,all_gt
bl_step_crossing,L3,110,20,1,0,0.0,0.0,all_gt
bl_step_crossing,L4,38,13,0,0,0.0,,all_gt
bl_step_crossing,L5,279,72,0,0,0.0,,all_gt
bl_step_crossing,R1,252,71,0,0,0.0,,all_gt
bl_step_crossing,R2,193,19,0,0,0.0,,all_gt
bl_step_crossing,R3,160,21,1,0,0.0,0.0,all_gt
bl_step_crossing,R4,136,40,1,0,0.0,0.0,all_gt
bl_step_crossing,R5,173,66,4,3,0.045454545454545456,0.75,all_gt
bl_step_crossing,L1,217,10,0,0,0.0,,assigned_gt
bl_step_crossing,L2,188,6,0,0,0.0,,assigned_gt
bl_step_crossing,L3,95,5,1,0,0.0,0.0,assigned_gt
bl_step_crossing,L4,30,5,0,0,0.0,,assigned_gt
bl_step_crossing,L5,225,18,0,0,0.0,,assigned_gt
bl_step_crossing,R1,190,9,0,0,0.0,,assigned_gt
bl_step_crossing,R2,182,8,0,0,0.0,,assigned_gt
bl_step_crossing,R3,146,7,1,0,0.0,0.0,assigned_gt
bl_step_crossing,R4,118,22,1,0,0.0,0.0,assigned_gt
bl_step_crossing,R5,134,27,4,3,0.1111111111111111,0.75,assigned_gt
bl_rate_q995,L1,252,45,2,0,0.0,0.0,all_gt
bl_rate_q995,L2,207,25,0,0,0.0,,all_gt
bl_rate_q995,L3,110,20,0,0,0.0,,all_gt
bl_rate_q995,L4,38,13,0,0,0.0,,all_gt
bl_rate_q995,L5,279,72,1,0,0.0,0.0,all_gt
bl_rate_q995,R1,252,71,3,0,0.0,0.0,all_gt
bl_rate_q995,R2,193,19,0,0,0.0,,all_gt
bl_rate_q995,R3,160,21,0,0,0.0,,all_gt
bl_rate_q995,R4,136,40,1,1,0.025,1.0,all_gt
bl_rate_q995,R5,173,66,1,1,0.015151515151515152,1.0,all_gt
bl_rate_q995,L1,217,10,2,0,0.0,0.0,assigned_gt
bl_rate_q995,L2,188,6,0,0,0.0,,assigned_gt
bl_rate_q995,L3,95,5,0,0,0.0,,assigned_gt
bl_rate_q995,L4,30,5,0,0,0.0,,assigned_gt
bl_rate_q995,L5,225,18,1,0,0.0,0.0,assigned_gt
bl_rate_q995,R1,190,9,3,0,0.0,0.0,assigned_gt
bl_rate_q995,R2,182,8,0,0,0.0,,assigned_gt
bl_rate_q995,R3,146,7,0,0,0.0,,assigned_gt
bl_rate_q995,R4,118,22,1,1,0.045454545454545456,1.0,assigned_gt
