set_id,recording_id,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
mandatory_missing,2024-02-15_20-07-54,150,38,0.25333333333333335,59,38,0.6440677966101694,1.0,0.0,2.5423728813559325
mandatory_missing,2024-02-15_21-40-43,150,17,0.11333333333333333,20,17,0.85,1.0,0.0,7.5
mandatory_missing,2024-02-15_21-57-38,150,40,0.26666666666666666,47,40,0.851063829787234,1.0,0.0,3.1914893617021276
mandatory_missing,2024-02-17_21-44-37,150,28,0.18666666666666668,47,28,0.5957446808510638,1.0,0.0,3.1914893617021276
mandatory_missing,2024-02-17_22-33-45,300,70,0.23333333333333334,82,70,0.8536585365853658,1.0,0.0,3.658536585365854
mandatory_missing,2024-02-22_11-58-09,150,6,0.04,13,6,0.46153846153846156,1.0,0.0,11.538461538461538
mandatory_missing,2024-03-11_22-23-29,150,10,0.06666666666666667,21,10,0.47619047619047616,1.0,0.0,7.142857142857142
mandatory_missing,2024-04-08_22-49-18,150,16,0.10666666666666667,32,16,0.5,1.0,0.0,4.6875
mandatory_missing,2024-09-02_14-10-41,150,16,0.10666666666666667,25,16,0.64,1.0,0.0,6.0
mandatory_missing,2024-09-04_19-52-57,150,25,0.16666666666666666,32,25,0.78125,1.0,0.0,4.6875
mandatory_missing,2024-09-05_13-25-10,150,9,0.06,14,9,0.6428571428571429,1.0,0.0,10.714285714285714
legacy_current_default,2024-02-15_20-07-54,150,27,0.18,59,7,0.11864406779661017,0.25925925925925924,0.21978021978021978,0.6591337099811676
legacy_current_default,2024-02-15_21-40-43,150,0,0.0,20,0,0.0,,0.0,
legacy_current_default,2024-02-15_21-57-38,150,8,0.05333333333333334,47,3,0.06382978723404255,0.375,0.04854368932038835,1.1968085106382977
legacy_current_default,2024-02-17_21-44-37,150,10,0.06666666666666667,47,7,0.14893617021276595,0.7,0.02912621359223301,2.234042553191489
legacy_current_default,2024-02-17_22-33-45,300,14,0.04666666666666667,82,3,0.036585365853658534,0.21428571428571427,0.05045871559633028,0.7839721254355401
legacy_current_default,2024-02-22_11-58-09,150,2,0.013333333333333334,13,1,0.07692307692307693,0.5,0.0072992700729927005,5.769230769230769
legacy_current_default,2024-03-11_22-23-29,150,11,0.07333333333333333,21,3,0.14285714285714285,0.2727272727272727,0.06201550387596899,1.9480519480519478
legacy_current_default,2024-04-08_22-49-18,150,6,0.04,32,1,0.03125,0.16666666666666666,0.0423728813559322,0.7812499999999999
legacy_current_default,2024-09-02_14-10-41,150,6,0.04,25,1,0.04,0.16666666666666666,0.04,1.0
legacy_current_default,2024-09-04_19-52-57,150,4,0.02666666666666667,32,0,0.0,0.0,0.03389830508474576,0.0
legacy_current_default,2024-09-05_13-25-10,150,2,0.013333333333333334,14,0,0.0,0.0,0.014705882352941176,0.0
bl_span_practical,2024-02-15_20-07-54,150,9,0.06,59,0,0.0,0.0,0.0989010989010989,0.0
bl_span_practical,2024-02-15_21-40-43,150,11,0.07333333333333333,20,1,0.05,0.09090909090909091,0.07692307692307693,0.6818181818181819
bl_span_practical,2024-02-15_21-57-38,150,6,0.04,47,0,0.0,0.0,0.05825242718446602,0.0
bl_span_practical,2024-02-17_21-44-37,150,12,0.08,47,3,0.06382978723404255,0.25,0.08737864077669903,0.7978723404255319
bl_span_practical,2024-02-17_22-33-45,300,17,0.056666666666666664,82,3,0.036585365853658534,0.17647058823529413,0.06422018348623854,0.6456241032998566
bl_span_practical,2024-02-22_11-58-09,150,3,0.02,13,1,0.07692307692307693,0.3333333333333333,0.014598540145985401,3.846153846153846
bl_span_practical,2024-03-11_22-23-29,150,16,0.10666666666666667,21,3,0.14285714285714285,0.1875,0.10077519379844961,1.3392857142857142
bl_span_practical,2024-04-08_22-49-18,150,4,0.02666666666666667,32,1,0.03125,0.25,0.025423728813559324,1.171875
bl_span_practical,2024-09-02_14-10-41,150,9,0.06,25,0,0.0,0.0,0.072,0.0
bl_span_practical,2024-09-04_19-52-57,150,7,0.04666666666666667,32,0,0.0,0.0,0.059322033898305086,0.0
bl_span_practical,2024-09-05_13-25-10,150,37,0.24666666666666667,14,1,0.07142857142857142,0.02702702702702703,0.2647058823529412,0.28957528957528955
bl_span_comfortable,2024-02-15_20-07-54,150,11,0.07333333333333333,59,0,0.0,0.0,0.12087912087912088,0.0
bl_span_comfortable,2024-02-15_21-40-43,150,16,0.10666666666666667,20,2,0.1,0.125,0.1076923076923077,0.9375
bl_span_comfortable,2024-02-15_21-57-38,150,23,0.15333333333333332,47,1,0.02127659574468085,0.043478260869565216,0.21359223300970873,0.13876040703052728
bl_span_comfortable,2024-02-17_21-44-37,150,20,0.13333333333333333,47,4,0.0851063829787234,0.2,0.1553398058252427,0.6382978723404256
bl_span_comfortable,2024-02-17_22-33-45,300,36,0.12,82,5,0.06097560975609756,0.1388888888888889,0.14220183486238533,0.508130081300813
bl_span_comfortable,2024-02-22_11-58-09,150,12,0.08,13,1,0.07692307692307693,0.08333333333333333,0.08029197080291971,0.9615384615384615
bl_span_comfortable,2024-03-11_22-23-29,150,27,0.18,21,4,0.19047619047619047,0.14814814814814814,0.17829457364341086,1.0582010582010581
bl_span_comfortable,2024-04-08_22-49-18,150,13,0.08666666666666667,32,3,0.09375,0.23076923076923078,0.0847457627118644,1.0817307692307692
bl_span_comfortable,2024-09-02_14-10-41,150,10,0.06666666666666667,25,0,0.0,0.0,0.08,0.0
bl_span_comfortable,2024-09-04_19-52-57,150,26,0.17333333333333334,32,1,0.03125,0.038461538461538464,0.211864406779661,0.18028846153846154
bl_span_comfortable,2024-09-05_13-25-10,150,39,0.26,14,1,0.07142857142857142,0.02564102564102564,0.27941176470588236,0.2747252747252747
bl_span_relative,2024-02-15_20-07-54,150,43,0.2866666666666667,59,9,0.15254237288135594,0.20930232558139536,0.37362637362637363,0.5321245565628696
bl_span_relative,2024-02-15_21-40-43,150,37,0.24666666666666667,20,3,0.15,0.08108108108108109,0.26153846153846155,0.6081081081081081
bl_span_relative,2024-02-15_21-57-38,150,44,0.29333333333333333,47,4,0.0851063829787234,0.09090909090909091,0.3883495145631068,0.2901353965183752
bl_span_relative,2024-02-17_21-44-37,150,48,0.32,47,7,0.14893617021276595,0.14583333333333334,0.39805825242718446,0.4654255319148936
bl_span_relative,2024-02-17_22-33-45,300,105,0.35,82,9,0.10975609756097561,0.08571428571428572,0.44036697247706424,0.31358885017421606
bl_span_relative,2024-02-22_11-58-09,150,64,0.4266666666666667,13,4,0.3076923076923077,0.0625,0.43795620437956206,0.7211538461538461
bl_span_relative,2024-03-11_22-23-29,150,62,0.41333333333333333,21,5,0.23809523809523808,0.08064516129032258,0.4418604651162791,0.576036866359447
bl_span_relative,2024-04-08_22-49-18,150,58,0.38666666666666666,32,9,0.28125,0.15517241379310345,0.4152542372881356,0.7273706896551724
bl_span_relative,2024-09-02_14-10-41,150,41,0.2733333333333333,25,6,0.24,0.14634146341463414,0.28,0.8780487804878049
bl_span_relative,2024-09-04_19-52-57,150,78,0.52,32,3,0.09375,0.038461538461538464,0.635593220338983,0.18028846153846154
bl_span_relative,2024-09-05_13-25-10,150,44,0.29333333333333333,14,1,0.07142857142857142,0.022727272727272728,0.3161764705882353,0.2435064935064935
bl_crossing,2024-02-15_20-07-54,150,1,0.006666666666666667,59,0,0.0,0.0,0.01098901098901099,0.0
bl_crossing,2024-02-15_21-40-43,150,1,0.006666666666666667,20,0,0.0,0.0,0.007692307692307693,0.0
