rule_id,variant,held_out_recording,threshold_semitones_per_second,train_notes,rule_mask
time_conditioned_large_position_change,q0.995,2024-02-15_20-07-54,6717.850287919403,1388,rate_q995
time_conditioned_large_position_change,q0.995,2024-02-15_21-40-43,6717.850287919403,1366,rate_q995
time_conditioned_large_position_change,q0.995,2024-02-15_21-57-38,6717.850287919403,1389,rate_q995
time_conditioned_large_position_change,q0.995,2024-02-17_21-44-37,6717.850287909325,1377,rate_q995
time_conditioned_large_position_change,q0.995,2024-02-17_22-33-45,6717.850287915395,1271,rate_q995
time_conditioned_large_position_change,q0.995,2024-02-22_11-58-09,6717.850287907951,1355,rate_q995
time_conditioned_large_position_change,q0.995,2024-03-11_22-23-29,6717.850287919403,1359,rate_q995
time_conditioned_large_position_change,q0.995,2024-04-08_22-49-18,6717.850287919403,1366,rate_q995
time_conditioned_large_position_change,q0.995,2024-09-02_14-10-41,6717.850287910012,1365,rate_q995
time_conditioned_large_position_change,q0.995,2024-09-04_19-52-57,6717.850287919403,1375,rate_q995
time_conditioned_large_position_change,q0.995,2024-09-05_13-25-10,6717.850287907951,1359,rate_q995
time_conditioned_large_position_change,q0.990,2024-02-15_20-07-54,5758.157389611042,1388,rate_q990
time_conditioned_large_position_change,q0.990,2024-02-15_21-40-43,5759.124914884821,1366,rate_q990
time_conditioned_large_position_change,q0.990,2024-02-15_21-57-38,5758.489112584501,1389,rate_q990
time_conditioned_large_position_change,q0.990,2024-02-17_21-44-37,5758.157389615361,1377,rate_q990
time_conditioned_large_position_change,q0.990,2024-02-17_22-33-45,4803.073967343488,1271,rate_q990
time_conditioned_large_position_change,q0.990,2024-02-22_11-58-09,5758.157389605938,1355,rate_q990
time_conditioned_large_position_change,q0.990,2024-03-11_22-23-29,5759.318419932745,1359,rate_q990
time_conditioned_large_position_change,q0.990,2024-04-08_22-49-18,5137.353165140852,1366,rate_q990
time_conditioned_large_position_change,q0.990,2024-09-02_14-10-41,5758.157389620073,1365,rate_q990
time_conditioned_large_position_change,q0.990,2024-09-04_19-52-57,5758.876122680348,1375,rate_q990
time_conditioned_large_position_change,q0.990,2024-09-05_13-25-10,4803.073967344963,1359,rate_q990
time_conditioned_large_position_change,q0.975,2024-02-15_20-07-54,2880.0000000026193,1388,rate_q975
time_conditioned_large_position_change,q0.975,2024-02-15_21-40-43,3159.9999999996908,1366,rate_q975
time_conditioned_large_position_change,q0.975,2024-02-15_21-57-38,3247.6775431839583,1389,rate_q975
time_conditioned_large_position_change,q0.975,2024-02-17_21-44-37,3072.000000000582,1377,rate_q975
time_conditioned_large_position_change,q0.975,2024-02-17_22-33-45,2559.9999999997817,1271,rate_q975
time_conditioned_large_position_change,q0.975,2024-02-22_11-58-09,2879.2168905993585,1355,rate_q975
time_conditioned_large_position_change,q0.975,2024-03-11_22-23-29,3359.0057710523024,1359,rate_q975
time_conditioned_large_position_change,q0.975,2024-04-08_22-49-18,2387.3466481473984,1366,rate_q975
time_conditioned_large_position_change,q0.975,2024-09-02_14-10-41,2880.0000000024556,1365,rate_q975
time_conditioned_large_position_change,q0.975,2024-09-04_19-52-57,3088.0000000004,1375,rate_q975
time_conditioned_large_position_change,q0.975,2024-09-05_13-25-10,2879.1247600815204,1359,rate_q975
