set_id,predicted_finger_id,eligible_notes,hard_count,hard_percentage
mandatory_missing,L1,56961,0,0.0
mandatory_missing,L2,42151,0,0.0
mandatory_missing,L3,32568,0,0.0
mandatory_missing,L4,17383,0,0.0
mandatory_missing,L5,41112,0,0.0
mandatory_missing,R1,65498,0,0.0
mandatory_missing,R2,58395,0,0.0
mandatory_missing,R3,48125,0,0.0
mandatory_missing,R4,31856,0,0.0
mandatory_missing,R5,40324,0,0.0
mandatory_missing,NA,0,0,
legacy_current_default,L1,56961,1796,0.03153034532399361
legacy_current_default,L2,42151,3694,0.0876373039785533
legacy_current_default,L3,32568,3734,0.1146524195529354
legacy_current_default,L4,17383,2484,0.14289823390669046
legacy_current_default,L5,41112,3892,0.09466822338976455
legacy_current_default,R1,65498,1801,0.02749702280985679
legacy_current_default,R2,58395,5509,0.09434026885863515
legacy_current_default,R3,48125,5447,0.11318441558441558
legacy_current_default,R4,31856,3638,0.11420140632847815
legacy_current_default,R5,40324,3005,0.07452137684753497
legacy_current_default,NA,0,0,
bl_span_practical,L1,56961,4550,0.07987921560365864
bl_span_practical,L2,42151,3918,0.09295153139901782
bl_span_practical,L3,32568,4050,0.12435519528371408
bl_span_practical,L4,17383,3486,0.20054075821204626
bl_span_practical,L5,41112,8177,0.1988956995524421
bl_span_practical,R1,65498,1960,0.029924577849705335
bl_span_practical,R2,58395,3188,0.05459371521534378
bl_span_practical,R3,48125,3512,0.07297662337662338
bl_span_practical,R4,31856,3060,0.0960572576594676
bl_span_practical,R5,40324,3542,0.08783850808451542
bl_span_practical,NA,0,0,
bl_span_comfortable,L1,56961,6793,0.11925703551552817
bl_span_comfortable,L2,42151,7004,0.16616450380773884
bl_span_comfortable,L3,32568,7644,0.23470891672807664
bl_span_comfortable,L4,17383,4986,0.2868319622619801
bl_span_comfortable,L5,41112,11217,0.27284004670169293
bl_span_comfortable,R1,65498,4299,0.06563559192647103
bl_span_comfortable,R2,58395,7165,0.12269886120387019
bl_span_comfortable,R3,48125,7627,0.1584831168831169
bl_span_comfortable,R4,31856,6156,0.19324460070316424
bl_span_comfortable,R5,40324,6415,0.15908640015871442
bl_span_comfortable,NA,0,0,
bl_span_relative,L1,56961,22719,0.39885184599989465
bl_span_relative,L2,42151,18632,0.442029845080781
bl_span_relative,L3,32568,14112,0.4333087693441415
bl_span_relative,L4,17383,8160,0.4694241500316401
bl_span_relative,L5,41112,23168,0.5635337614321853
bl_span_relative,R1,65498,24498,0.3740266878377966
bl_span_relative,R2,58395,20239,0.346587892799041
bl_span_relative,R3,48125,18462,0.38362597402597404
bl_span_relative,R4,31856,12877,0.4042252636865897
bl_span_relative,R5,40324,19871,0.4927834540224184
bl_span_relative,NA,0,0,
bl_crossing,L1,56961,0,0.0
bl_crossing,L2,42151,914,0.021683945813859695
bl_crossing,L3,32568,1323,0.04062269712601326
bl_crossing,L4,17383,1052,0.060518897773686936
bl_crossing,L5,41112,1487,0.036169488227281575
bl_crossing,R1,65498,0,0.0
